,Sign,Movement,Number of Hands,Location,Handshape,id
129,PANAMA,repeated,2,closed /bent 5,,
130,PORTUGAL,repeated,2,shoulder to center,P,
131,VIETNAM,repeated,1,on face,L,
132,TURKEY,repeated,1,on forehead,C,
133,ARGENTINA,repeated,2,on torso,Clawed 5  and A,
134,NEW ZEALAND.MP4,repeated,2,closed 5/bent,,
135,UKRAINE,repeated,1,across the mouth,modified A,
136,DOMINICAN REPUBLIC,repeated,2,on hand,D R,
137,JORDAN,repeated,1,on forehead,L,
138,NORWAY,repeated,1,in space,N,
139,IRELAND,repeated,2,on hand,A and Clawed V,
140,NEW ZEALAND,repeated,2,on palm,closed 5 and bent 5,
141,PERU,repeated,2,on back of hand,P on A,
142,ECUADOR,repeated,2,in space ,bent closed 5,
143,FINLAND,repeated,1,at chin,X,
144,BOTSWANA,repeated,1,in space ,B,
145,ICELAND,repeated,1,at chin,A,
146,BELIZE,repeated,1,in space ,B,
147,ROMANIA,repeated,2,in space a torso,open 5 to closed,
148,HONDURAS,repeated,1,at chin,H,
149,KENYA,repeated,1,in space ,modified A,
150,SPAIN,repeated,1,on shoulder Modifie A,,
151,TAIWAN,repeated,1,across the mouth,S,
152,INDONESIA,repeated,1,across torso,closed 3,
153,POLAND,repeated,1,on nose,A,
154,SOUTH AFRICA,repeated,1,in space ,S and open 5,
155,IRAN,repeated,1,in palm,A,
156,MEXICO,repeated,1,on forehead,V,
157,HONG KONG,repeated,1,towards the face,closed to open 5,
158,NIAMBIA,repeated,1,in space,5 with bent first finger,
159,KOREA,repeated,1,side of head,bent closed 5,
160,SAUDI ARABIA,repeated,1,forehead,H,
161,SWEDEN,repeated,2,back of hand,closed 5 opened 5 to close,
162,CUBA,repeated,1,on forehead,B,
163,VENEZUELA,repeated,1,in space,V or 2,
164,DENMARK,repeated,1,across torso,3,
165,INDIA,uni,1,on forehead,A,
166,MALAYSIA,repeated,2,at headside,closed 5,
167,ITALY,repeated,1,in space ,Close to open L,
168,BOLIVIA,repeated,1,in space ,"mondified ""ILY""",
169,PARAGUAY,repeated,2,on back of hand,P on A,
170,BELGIUM,repeated,1,at chin,B,
171,COSTARICA,repeated,2,on hand,C and R,
172,THAILAND,repeated,1,on nose to space,1,
173,EL SALVADOR,repeated,1,across torso,E to S,
174,RUSSIA,repeated,1,under chin,1,
175,SRI LANKA,repeated,2,on palm,closed 5 and 1,
176,CZECH REPUBLIC,repeated,1,under chin,closed 5,
